,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
9867,/organization/salveo-specialty-pharmacy,Salveo Specialty Pharmacy,|Health and Wellness|Healthcare Services|Biotechnology|,Healthcare Services,USA,FL,Tampa,St. Petersburg,/organization/catamaran-corp,Catamaran Corp.,|Hospitality|,Hospitality,USA,IL,Chicago,Schaumburg,2014-10-09,2014-10,2014-Q4,2014.0," 260,000,000 ",USD
30139,,,,,,,,,,,,,,,,,,,,,,
31156,,,,,,,,,,,,,,,,,,,,,,
41347,,,,,,,,,,,,,,,,,,,,,,
31501,,,,,,,,,,,,,,,,,,,,,,
16913,,,,,,,,,,,,,,,,,,,,,,
14805,,,,,,,,,,,,,,,,,,,,,,
10318,/organization/banksimple,Simple,|Finance|Banking|Enterprise Software|,Finance,USA,OR,"Portland, Oregon",Portland,/organization/banco-bilbao-vizcaya-argentaria,Banco Bilbao Vizcaya Argentaria,|Banking|,Banking,ESP,,Bilbao,Bilbao,2014-02-20,2014-02,2014-Q1,2014.0," 117,000,000 ",USD
40795,,,,,,,,,,,,,,,,,,,,,,
46940,,,,,,,,,,,,,,,,,,,,,,
42897,,,,,,,,,,,,,,,,,,,,,,
1635,/organization/bolt-peters,Bolt | Peters,|Internet|Testing|Design|,Testing,USA,CA,SF Bay Area,San Francisco,/organization/facebook,Facebook,|Communities|Identity|All Students|Colleges|Facebook Applications|Social Media|,Communities,USA,CA,SF Bay Area,Menlo Park,2012-06-21,2012-06,2012-Q2,2012.0," 50,000,000 ",USD
40950,,,,,,,,,,,,,,,,,,,,,,
17798,,,,,,,,,,,,,,,,,,,,,,
16891,,,,,,,,,,,,,,,,,,,,,,
29748,,,,,,,,,,,,,,,,,,,,,,
34584,,,,,,,,,,,,,,,,,,,,,,
44184,,,,,,,,,,,,,,,,,,,,,,
18962,,,,,,,,,,,,,,,,,,,,,,
10935,/organization/streamezzo,Streamezzo,|Mobile|,Mobile,FRA,,Paris,Paris,/organization/amdocs,Amdocs,|Curated Web|,Curated Web,USA,MO,St. Louis,Chesterfield,2010-04-23,2010-04,2010-Q2,2010.0,,USD
2038,/organization/carepages,CarePages,|Communities|,Communities,USA,NY,New York City,New York,/organization/revolution-health,Revolution Health,|Curated Web|,Curated Web,USA,DC,"Washington, D.C.",Washington,2007-04-20,2007-04,2007-Q2,2007.0,,USD
52232,,,,,,,,,,,,,,,,,,,,,,
32404,,,,,,,,,,,,,,,,,,,,,,
13893,,,,,,,,,,,,,,,,,,,,,,
20916,,,,,,,,,,,,,,,,,,,,,,
5311,/organization/hy-bon-engineering,Hy-Bon Engineering,,,USA,TX,TX - Other,Midland,/organization/regal-beloit,Regal Beloit,|Electronics|,Electronics,USA,WI,Milwaukee,Beloit,2014-02-07,2014-02,2014-Q1,2014.0,,USD
26413,,,,,,,,,,,,,,,,,,,,,,
14550,,,,,,,,,,,,,,,,,,,,,,
50053,,,,,,,,,,,,,,,,,,,,,,
34339,,,,,,,,,,,,,,,,,,,,,,
29165,,,,,,,,,,,,,,,,,,,,,,
24525,,,,,,,,,,,,,,,,,,,,,,
13082,,,,,,,,,,,,,,,,,,,,,,
41419,,,,,,,,,,,,,,,,,,,,,,
1748,/organization/bridgelogix,Bridgelogix,|Software|,Software,USA,OK,Tulsa,Tulsa,/organization/infor,Infor,|Enterprise Software|,Enterprise Software,USA,NY,New York City,New York,2010-06-02,2010-06,2010-Q2,2010.0,,USD
3416,/organization/dominion-gas,Dominion Gas,,,,,,,/organization/praxair,Praxair,|Gas|Chemicals|,Chemicals,USA,CT,Hartford,Danbury,2013-05-29,2013-05,2013-Q2,2013.0,,USD
12099,/organization/user-centric,User Centric,|Usability|Technology|,Technology,USA,IL,IL - Other,,/organization/gfk-aktiengesellshaft,GfK SE,|Consulting|,Consulting,DEU,,Nuremberg,Nuremberg,2012-09-17,2012-09,2012-Q3,2012.0,,USD
11682,/organization/tower-holdings,Tower Holdings,|Adaptive Equipment|TV Production|Media|,Adaptive Equipment,USA,IL,Chicago,Chicago,/organization/impax-laboratories,Impax Laboratories,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Hayward,2014-10-09,2014-10,2014-Q4,2014.0," 700,000,000 ",USD
53658,,,,,,,,,,,,,,,,,,,,,,
15122,,,,,,,,,,,,,,,,,,,,,,
35483,,,,,,,,,,,,,,,,,,,,,,
20261,,,,,,,,,,,,,,,,,,,,,,
21664,,,,,,,,,,,,,,,,,,,,,,
34997,,,,,,,,,,,,,,,,,,,,,,
48901,,,,,,,,,,,,,,,,,,,,,,
54472,,,,,,,,,,,,,,,,,,,,,,
23517,,,,,,,,,,,,,,,,,,,,,,
14979,,,,,,,,,,,,,,,,,,,,,,
48235,,,,,,,,,,,,,,,,,,,,,,
49670,,,,,,,,,,,,,,,,,,,,,,
19713,,,,,,,,,,,,,,,,,,,,,,
28396,,,,,,,,,,,,,,,,,,,,,,
37945,,,,,,,,,,,,,,,,,,,,,,
24501,,,,,,,,,,,,,,,,,,,,,,
32686,,,,,,,,,,,,,,,,,,,,,,
54202,,,,,,,,,,,,,,,,,,,,,,
28335,,,,,,,,,,,,,,,,,,,,,,
